1914,,,,,,,,,,1182,450,-481
1915,-90,329,767,1192,1291,1900,,,1766,1317,424,182
1916,-473,433,838,1125,1169,1792,2212,2186,1825,909,173,-159
1917,-1141,-196,184,833,1140,1981,2693,2577,1740,,,401
1918,170,170,561,972,1317,2344,2383,2187,1779,1256,294,-255
1919,-103,210,567,1115,1692,1885,2434,2278,1666,780,316,-287
1920,103,296,476,832,1494,1821,2230,2317,1790,941,450,118
1921,136,431,815,984,1363,2007,2405,2356,1717,1365,710,149
1922,-364,-104,316,732,1441,2164,2570,2292,2034,1219,245,135
1923,31,,,,,,,,,,,
1925,230,543,676,1110,1622,1969,2480,2116,1555,1095,429,36
1926,-2,464,981,1367,1628,2321,2543,,,,870,90
1927,222,437,646,955,1348,1984,2438,2190,1607,1259,,-239
1928,33,307,805,937,1857,1920,2450,2295,1870,1164,443,-167
1929,-47,103,679,745,1544,1825,2460,2433,1669,1218,407,445
1930,-483,396,660,1137,1252,,,2202,1672,1021,441,-203
1931,-98,445,700,1143,1796,1929,2639,2427,1708,1275,202,-208
1932,-166,-160,722,911,1425,2071,,,,,,
1933,,,,,,,2530,2373,1724,1537,467,314
1934,315,512,1152,1433,1703,1854,2392,2410,1823,1252,593,
1935,12,300,315,808,1271,1773,,2121,2010,1007,39,-38
1936,191,306,671,1167,,1940,2493,2357,1748,1283,332,-80
1937,-1053,-261,603,880,1602,1893,2463,2246,1809,1143,603,161
1938,112,8,380,991,1430,1968,2282,2196,1866,1096,202,68
1939,26,-26,700,1274,1586,1846,2360,2346,1770,1093,482,224
1940,63,390,656,1033,1680,2252,2276,2291,1576,1220,285,155
1941,164,446,642,820,1442,1737,2316,1926,1448,1023,468,146
1942,-612,40,449,986,1142,1703,2288,2150,,,,
1945,-105,346,432,1013,1476,1773,2387,2145,1699,1266,541,76
1946,-14,167,633,1120,1462,1808,2235,2245,1646,829,336,111
1947,-220,462,743,1075,1708,1704,2087,1982,1747,1183,166,-86
1948,112,159,405,864,1258,1799,,,,,,
1950,,,,,,,2371,2123,1685,1149,647,368
1951,88,231,428,1068,1464,1967,2310,2038,1684,900,380,5
1952,-348,174,223,1066,1459,1657,2203,,1779,1192,89,46
1953,306,164,440,828,885,1435,2207,2074,1894,1088,672,121
1954,249,480,,1192,1624,1707,2256,1911,1497,1074,570,-58
1955,-488,,,,,,,,,,472,345
1956,126,-106,618,968,1377,1836,2212,1982,1679,1067,177,-163
1957,-436,318,676,883,1281,1928,2278,2120,1926,897,226,77
1958,,610,342,818,1608,1721,2195,2312,1693,1217,418,157
1959,181,121,587,1098,1159,1960,2388,2034,1483,1091,318,-336
1960,-270,98,650,847,1284,2127,2373,2110,1811,1066,426,-148
1961,20,477,565,965,1272,2159,2341,2253,1478,1100,265,9
1962,-443,-10,421,1196,1257,1861,2190,2070,1825,1107,633,85
1963,-248,,,,,,,,,,,
1966,,,,,,,,,1690,1072,508,-82
1967,102,404,434,435,1437,1747,2386,2448,,,652,-225
1968,,566,,898,,,2424,1925,1688,,341,-37
1969,-32,133,490,,1667,1857,2359,2241,1887,826,342,44
1970,169,467,533,589,1444,1906,2393,2290,1589,984,603,-65
1971,136,289,472,,,1749,2363,2345,1584,,,
